Iteration,Time,Lat,Lon,Vel,Pressure,Temp
1173,0,0,0,0,259.8976918,-82.33220526
1174,0,0,0,0,259.8976918,25.18554691
1175,0,0,0,0,260.1626016,25.18554691
1176,0,0,0,0,260.1626016,25.18554691
1177,0,0,0,0,259.8976918,-82.33220526
1178,0,0,0,0,259.8976918,25.18554691
1179,0,0,0,0,260.1626016,-82.33220526
1180,0,0,0,0,259.8976918,25.18554691
1181,0,0,0,0,260.1626016,25.18554691
1182,0,0,0,0,260.1626016,25.18554691
1183,0,0,0,0,259.8976918,25.18554691
1184,0,0,0,0,260.1626016,25.18554691
1185,0,0,0,0,260.1626016,-82.33220526
1186,0,0,0,0,260.1626016,25.18554691
1187,0,0,0,0,259.8976918,-82.33220526
1188,0,0,0,0,259.8976918,-82.33220526
1189,0,0,0,0,260.1626016,25.18554691
1190,0,0,0,0,260.1626016,25.18554691
1191,0,0,0,0,260.1626016,25.18554691
1192,0,0,0,0,259.8976918,25.18554691
1193,0,0,0,0,260.1626016,25.18554691
1194,0,0,0,0,260.1626016,25.18554691
1195,0,0,0,0,259.8976918,25.18554691
1196,0,0,0,0,259.8976918,25.18554691
1197,0,0,0,0,260.1626016,25.18554691
1198,0,0,0,0,259.8976918,-82.33220526
1199,0,0,0,0,260.1626016,25.18554691
1200,0,0,0,0,260.1626016,25.18554691
1201,0,0,0,0,260.1626016,25.18554691
1202,0,0,0,0,259.8976918,25.18554691
1203,0,0,0,0,260.1626016,25.18554691
1205,0,0,0,0,260.1626016,25.18554691
1206,0,0,0,0,260.1626016,25.18554691
1207,0,0,0,0,260.1626016,25.18554691
1208,0,0,0,0,260.1626016,25.18554691
1209,0,0,0,0,259.8976918,-82.33220526
1210,0,0,0,0,260.1626016,25.18554691
1211,0,0,0,0,260.1626016,25.18554691
1212,0,0,0,0,260.1626016,25.18554691
1213,0,0,0,0,260.1626016,25.18554691
1214,0,0,0,0,260.1626016,-82.33220526
1215,0,0,0,0,260.1626016,-82.33220526
1216,0,0,0,0,259.8976918,25.18554691
1217,0,0,0,0,260.1626016,25.18554691
1218,0,0,0,0,260.1626016,-82.33220526
1219,0,0,0,0,260.1626016,-82.33220526
1220,0,0,0,0,260.1626016,-82.33220526
1221,0,0,0,0,260.1626016,-82.33220526
1222,0,0,0,0,260.1626016,-82.33220526
1223,0,0,0,0,259.8976918,25.18554691
1224,0,0,0,0,260.1626016,25.18554691
1225,0,0,0,0,260.1626016,25.18554691
1226,0,0,0,0,260.1626016,25.18554691
1227,0,0,0,0,260.1626016,25.18554691
1228,0,0,0,0,260.1626016,25.18554691
1229,0,0,0,0,259.8976918,25.18554691
1230,0,0,0,0,259.8976918,25.18554691
1231,0,0,0,0,259.8976918,-82.33220526
1232,0,0,0,0,260.1626016,25.18554691
1233,0,0,0,0,260.1626016,25.18554691
1234,0,0,0,0,259.8976918,25.18554691
1235,0,0,0,0,260.1626016,25.18554691
1236,0,0,0,0,260.1626016,25.18554691
1237,0,0,0,0,260.1626016,-82.33220526
1238,0,0,0,0,260.1626016,-82.33220526
1239,0,0,0,0,260.1626016,-82.33220526
1240,0,0,0,0,260.1626016,-82.33220526
1241,0,0,0,0,260.1626016,25.18554691
1242,0,0,0,0,259.8976918,25.18554691
1243,0,0,0,0,260.1626016,-82.33220526
1244,0,0,0,0,260.1626016,25.18554691
1245,0,0,0,0,260.1626016,25.18554691
1246,0,0,0,0,260.1626016,25.18554691
1247,0,0,0,0,259.8976918,25.18554691
1248,0,0,0,0,260.1626016,-82.33220526
1249,0,0,0,0,260.1626016,25.18554691
1250,0,0,0,0,260.1626016,25.18554691
1251,0,0,0,0,260.1626016,25.18554691
1252,0,0,0,0,259.8976918,25.18554691
1253,0,0,0,0,260.1626016,-82.33220526
1254,0,0,0,0,260.1626016,25.18554691
1254,111334,13.044295,80.260672,0,-1.038446357,25.19447579
1255,111345,13.044295,80.260672,0,-1.038446357,25.19447579
1256,111356,13.044295,80.260672,0,-1.038446357,25.10543554
1257,111408,13.044295,80.260672,0,-1.038446357,25.10543554
1258,111419,13.044295,80.260672,0,-1.038446357,25.10543554
1259,111431,13.044295,80.260672,0,-0.773536572,25.10543554
1260,111442,13.044295,80.260672,0,-1.038446357,25.01644229
1261,111453,13.044295,80.260672,0,-1.038446357,25.10543554
1262,111505,13.044295,80.260672,0,-1.038446357,25.10543554
1263,111516,13.044295,80.260672,0,-0.773536572,25.01644229
1264,111528,13.044295,80.260672,0,-1.038446357,24.92749534
1265,111539,13.044295,80.260672,0,-0.773536572,24.92749534
1266,111551,13.044295,80.260672,0,-0.773536572,24.83859397
1267,111602,13.044295,80.260672,0,-1.038446357,24.83859397
1268,111613,13.044295,80.260672,0,-0.773536572,24.83859397
1269,111625,13.044295,80.260672,0,-1.038446357,24.83859397
1270,111636,13.044295,80.260672,0,-1.038446357,24.83859397
1271,111647,13.044295,80.260672,0,-1.038446357,24.74973747
1272,111659,13.044295,80.260672,0,-1.303356142,24.66092513
1273,111710,13.044295,80.260672,0,-1.038446357,24.74973747
1274,111722,13.044295,80.260672,0,-1.038446357,24.74973747
1275,111733,13.044295,80.260672,0,-1.038446357,24.74973747
1276,111744,13.044295,80.260672,0,-1.303356142,24.74973747
1277,111756,13.044295,80.260672,0,-1.038446357,24.66092513
1278,111807,13.044295,80.260672,0,-1.038446357,24.57215624
1279,111818,13.044295,80.260672,0,-1.038446357,24.48343009
1280,111830,13.044295,80.260672,0,-1.303356142,24.57215624
1281,111902,13.044295,80.260672,0,-1.303356142,24.57215624
1282,111904,13.044295,80.260672,0,-0.773536572,24.57215624
1283,111907,13.044295,80.260672,0,-1.038446357,24.48343009
1284,111909,13.044295,80.260672,0,-1.038446357,24.48343009
1285,111911,13.044295,80.260672,0,-1.038446357,24.48343009
1286,111914,13.044295,80.260672,0,-1.038446357,24.57215624
1287,111916,13.044295,80.260672,0,-1.038446357,24.48343009
1288,111919,13.044295,80.260672,0,-1.038446357,24.57215624
1289,111921,13.044295,80.260672,0,-1.038446357,24.57215624
1290,111923,13.044295,80.260672,0,-1.038446357,24.48343009
1291,111926,13.044295,80.260672,0,-1.038446357,24.48343009
1292,111928,13.044295,80.260672,0,-1.038446357,24.48343009
1293,111930,13.044295,80.260672,0,-1.038446357,24.57215624
1294,111933,13.044295,80.260672,0,-1.038446357,24.48343009
1295,111935,13.044295,80.260672,0,-1.303356142,24.57215624
1296,111937,13.044295,80.260672,0,-1.038446357,24.57215624
1297,111940,13.044295,80.260672,0,-1.038446357,24.57215624
1298,111942,13.044295,80.260672,0,-0.773536572,24.48343009
1299,111945,13.044295,80.260672,0,-0.773536572,24.57215624
1300,111947,13.044295,80.260672,0,-1.038446357,24.48343009
1301,111949,13.044295,80.260672,0,-1.038446357,24.57215624
1302,111952,13.044295,80.260672,0,-1.038446357,24.48343009
1303,111954,13.044295,80.260672,0,-1.038446357,24.57215624
1304,111956,13.044295,80.260672,0,-1.038446357,24.57215624
1305,111959,13.044295,80.260672,0,-1.038446357,24.57215624
1306,112001,13.044295,80.260672,0,-1.038446357,24.57215624
1307,112004,13.044295,80.260672,0,-1.038446357,24.57215624
1308,112006,13.044295,80.260672,0,-0.773536572,24.66092513
1309,112009,13.044295,80.260672,0,-1.038446357,24.57215624
1310,112013,13.044295,80.260672,0,-1.038446357,24.57215624
1311,112020,13.044295,80.260672,0,-1.038446357,24.66092513
1312,112024,13.044295,80.260672,0,-1.038446357,24.57215624
1313,112029,13.044295,80.260672,0,-1.038446357,24.57215624
1314,112033,13.044295,80.260672,0,-1.038446357,24.57215624
1315,112037,13.044295,80.260672,0,-1.038446357,24.57215624
1316,112042,13.044295,80.260672,0,-1.038446357,24.57215624
1317,112046,13.044295,80.260672,0,-0.773536572,24.57215624
1318,112051,13.044295,80.260672,0,-1.038446357,24.57215624
1319,112055,13.044295,80.260672,0,-0.773536572,24.57215624
1320,112059,13.044295,80.260672,0,-0.508626787,24.57215624
1321,112104,13.044295,80.260672,0,-1.303356142,24.57215624
1322,112108,13.044295,80.260672,0,-1.038446357,24.57215624
1323,112113,13.044295,80.260672,0,-1.038446357,24.57215624
1324,112117,13.044295,80.260672,0,-1.038446357,24.57215624
1325,112121,13.044295,80.260672,0,-1.038446357,24.57215624
1326,112126,13.044295,80.260672,0,-1.038446357,24.57215624
1327,112130,13.044295,80.260672,0,-1.038446357,24.57215624
1328,112134,13.044295,80.260672,0,-1.038446357,24.57215624
1329,112139,13.044295,80.260672,0,-1.038446357,24.57215624
1330,112143,13.044295,80.260672,0,-1.038446357,24.57215624
1331,112147,13.044295,80.260672,0,-1.038446357,24.57215624
1332,112152,13.044295,80.260672,0,-1.038446357,24.66092513
1333,112156,13.044295,80.260672,0,-1.038446357,24.57215624
1334,112201,13.044295,80.260672,0,-1.038446357,24.66092513
1335,112205,13.044295,80.260672,0,-1.038446357,24.57215624
1336,112209,13.044295,80.260672,0,-1.038446357,24.66092513
1337,112214,13.044295,80.260672,0,-1.038446357,24.57215624
1338,112218,13.044295,80.260672,0,-1.038446357,24.66092513
1339,112222,13.044295,80.260672,0,-1.038446357,24.66092513
1340,112227,13.044295,80.260672,0,-1.038446357,24.66092513
1341,112231,13.044295,80.260672,0,-1.038446357,24.57215624
1342,112236,13.044295,80.260672,0,-1.038446357,24.66092513
1343,112240,13.044295,80.260672,0,-1.038446357,24.57215624
1344,112244,13.044295,80.260672,0,-0.773536572,24.66092513
1345,112249,13.044295,80.260672,0,-1.038446357,24.57215624
1346,112253,13.044295,80.260672,0,-1.038446357,24.57215624
1347,112257,13.044295,80.260672,0,-1.038446357,24.57215624
1348,112302,13.044295,80.260672,0,-1.038446357,24.48343009
1349,112306,13.044295,80.260672,0,-1.038446357,24.57215624
1350,112311,13.044295,80.260672,0,-1.038446357,24.57215624
1351,112315,13.044295,80.260672,0,-1.038446357,24.57215624
1352,112319,13.044295,80.260672,0,-0.773536572,24.57215624
1353,112324,13.044295,80.260672,0,-1.038446357,24.57215624
1354,112328,13.044295,80.260672,0,-1.038446357,24.57215624
1355,112333,13.044295,80.260672,0,-0.773536572,24.57215624
1356,112337,13.044295,80.260672,0,-1.038446357,24.57215624
1357,112340,13.044295,80.260672,0,-1.038446357,24.57215624
1358,112345,13.044295,80.260672,0,-0.773536572,24.57215624
1359,112349,13.044295,80.260672,0,-1.038446357,24.57215624
1360,112353,13.044295,80.260672,0,-1.038446357,24.57215624
1361,112358,13.044295,80.260672,0,-0.773536572,24.66092513
1362,112402,13.044295,80.260672,0,-1.038446357,24.57215624
1363,112407,13.044295,80.260672,0,-1.303356142,24.66092513
1364,112411,13.044295,80.260672,0,-0.773536572,24.66092513
1365,112415,13.044295,80.260672,0,-1.038446357,24.66092513
1366,112420,13.044295,80.260672,0,-1.303356142,24.66092513
1367,112424,13.044295,80.260672,0,-1.038446357,24.66092513
1368,112429,13.044295,80.260672,0,-1.038446357,24.66092513
1369,112433,13.044295,80.260672,0,-0.773536572,24.57215624
1370,112437,13.044295,80.260672,0,-0.773536572,24.66092513
1371,112442,13.044295,80.260672,0,-1.038446357,24.66092513
1372,112446,13.044295,80.260672,0,-1.038446357,24.66092513
1373,112450,13.044295,80.260672,0,-1.038446357,24.66092513
1374,112453,13.044295,80.260672,0,-1.038446357,24.57215624
1375,112457,13.044295,80.260672,0,-1.038446357,24.57215624
1376,112500,13.044295,80.260672,0,-1.038446357,24.48343009
1377,112504,13.044295,80.260672,0,-1.038446357,24.48343009
1378,112507,13.044295,80.260672,0,-1.038446357,24.57215624
1379,112511,13.044295,80.260672,0,-1.303356142,24.57215624
1380,112515,13.044295,80.260672,0,-1.038446357,24.57215624
1381,112518,13.044295,80.260672,0,-1.038446357,24.57215624
1382,112522,13.044295,80.260672,0,-1.038446357,24.57215624
1383,112525,13.044295,80.260672,0,-1.038446357,24.57215624
1384,112529,13.044295,80.260672,0,-0.773536572,24.57215624
1385,112532,13.044295,80.260672,0,-0.773536572,24.57215624
1386,112536,13.044295,80.260672,0,-1.038446357,24.57215624
1387,112539,13.044295,80.260672,0,-1.038446357,24.57215624
1388,112543,13.044295,80.260672,0,-0.773536572,24.57215624
1389,112546,13.044295,80.260672,0,-1.038446357,24.57215624
1390,112550,13.044295,80.260672,0,-1.038446357,24.57215624
1391,112553,13.044295,80.260672,0,-1.038446357,24.57215624
1392,112557,13.044295,80.260672,0,-1.038446357,24.57215624
1393,112600,13.044295,80.260672,0,-1.038446357,24.48343009
1394,112603,13.044295,80.260672,0,-1.038446357,24.57215624
1395,112607,13.044295,80.260672,0,-1.038446357,24.57215624
1396,112613,13.044295,80.260672,0,-1.038446357,24.57215624
1397,112617,13.044295,80.260672,0,-1.038446357,24.48343009
1398,112620,13.044295,80.260672,0,-1.038446357,24.48343009
1399,112701,13.044295,80.260672,0,-0.773536572,24.57215624
